Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,Regime
S-507,2023-05-31 10:55:00,LONG,1956.12,1931.66,1962.52,WIN,26.18,SIDEWAY_ADV
S-508,2023-05-31 19:30:00,LONG,1964.44,1931.66,1964.6,WIN,0.5,SIDEWAY_ADV
S-509,2023-06-01 01:40:00,SHORT,1965.55,1965.55,1955.36,WIN,105.81,SIDEWAY_ADV
S-510,2023-06-01 11:05:00,LONG,1955.92,1931.66,1966.41,WIN,43.25,SIDEWAY_ADV
S-511,2023-06-01 12:45:00,SHORT,1959.51,1975.18,1953.85,LOSS,-100.0,SIDEWAY_ADV
S-512,2023-06-01 13:25:00,SHORT,1962.52,1975.18,1954.6,LOSS,-100.0,SIDEWAY_ADV
S-513,2023-06-01 13:30:00,SHORT,1963.28,1975.18,1954.79,LOSS,-100.0,SIDEWAY_ADV
S-514,2023-06-01 13:40:00,SHORT,1965.58,1975.18,1955.36,LOSS,-100.0,SIDEWAY_ADV
S-515,2023-06-01 18:50:00,SHORT,1982.65,1982.65,1959.04,LOSS,-100.0,SIDEWAY_ADV
S-516,2023-06-01 23:35:00,LONG,1977.92,1931.65,1971.91,WIN,12.98,SIDEWAY_ADV
S-517,2023-06-02 02:45:00,LONG,1977.03,1931.65,1971.69,WIN,11.77,SIDEWAY_ADV
S-518,2023-06-02 06:15:00,SHORT,1982.64,1982.64,1959.03,WIN,1909.14,SIDEWAY_ADV
S-519,2023-06-02 07:30:00,LONG,1980.11,1931.65,1972.18,WIN,16.36,SIDEWAY_ADV
S-520,2023-06-02 20:10:00,LONG,1952.5,1931.66,1975.28,EXPIRED,0.0,SIDEWAY_ADV
S-521,2023-06-02 22:50:00,LONG,1948.22,1948.22,1974.21,EXPIRED,0.0,SIDEWAY_ADV
S-522,2023-06-06 06:30:00,LONG,1959.43,1937.74,1965.38,WIN,27.41,SIDEWAY_ADV
S-523,2023-06-06 14:50:00,SHORT,1963.99,1983.87,1958.34,WIN,28.41,SIDEWAY_ADV
S-524,2023-06-06 22:30:00,LONG,1962.4,1937.74,1966.03,WIN,14.73,SIDEWAY_ADV
S-525,2023-06-14 14:05:00,LONG,1947.11,1947.11,1961.67,LOSS,-100.0,SIDEWAY_ADV
S-526,2023-06-16 09:00:00,SHORT,1958.72,1971.52,1955.93,WIN,21.77,SIDEWAY_ADV
S-527,2023-06-16 09:05:00,SHORT,1959.52,1971.52,1956.13,WIN,28.22,SIDEWAY_ADV
S-528,2023-06-16 22:55:00,LONG,1955.44,1924.31,1964.39,EXPIRED,0.0,SIDEWAY_ADV
S-529,2023-06-19 02:10:00,SHORT,1957.78,1971.52,1955.7,WIN,15.15,SIDEWAY_ADV
S-530,2023-06-21 02:45:00,SHORT,1937.09,1968.32,1950.53,WIN,43.02,SIDEWAY_ADV
S-531,2023-06-21 03:15:00,SHORT,1937.2,1968.32,1950.55,WIN,42.91,SIDEWAY_ADV
S-532,2023-06-21 11:25:00,LONG,1935.07,1924.31,1959.29,LOSS,-100.0,SIDEWAY_ADV
S-533,2023-06-22 11:05:00,SHORT,1930.51,1968.32,1947.21,WIN,44.16,SIDEWAY_ADV
S-534,2023-06-23 04:25:00,SHORT,1914.51,1962.09,1942.87,WIN,59.61,SIDEWAY_ADV
S-535,2023-06-23 07:50:00,SHORT,1916.75,1960.14,1943.43,WIN,61.49,SIDEWAY_ADV
S-536,2023-06-23 16:40:00,SHORT,1934.82,1959.15,1947.95,WIN,53.98,SIDEWAY_ADV
S-537,2023-06-28 21:50:00,SHORT,1912.11,1937.85,1943.51,WIN,121.99,SIDEWAY_ADV
S-538,2023-06-29 13:55:00,SHORT,1909.9,1937.85,1942.11,WIN,115.23,SIDEWAY_ADV
S-539,2023-06-30 05:15:00,SHORT,1908.68,1933.74,1941.51,WIN,131.0,SIDEWAY_ADV
S-540,2023-07-03 05:50:00,LONG,1915.1,1892.57,1953.97,EXPIRED,0.0,SIDEWAY_ADV
S-541,2023-07-03 05:55:00,LONG,1914.82,1892.57,1953.9,EXPIRED,0.0,SIDEWAY_ADV
S-542,2023-07-04 19:25:00,LONG,1925.5,1892.56,1952.87,EXPIRED,0.0,SIDEWAY_ADV
S-543,2023-07-05 05:05:00,LONG,1923.29,1892.57,1952.31,EXPIRED,0.0,SIDEWAY_ADV
S-544,2023-07-05 05:35:00,LONG,1923.45,1892.57,1952.35,EXPIRED,0.0,SIDEWAY_ADV
S-545,2023-07-05 09:35:00,LONG,1921.38,1892.57,1951.84,EXPIRED,0.0,SIDEWAY_ADV
S-546,2023-07-05 23:50:00,LONG,1914.82,1892.57,1928.92,WIN,63.37,SIDEWAY_ADV
S-547,2023-07-06 03:35:00,SHORT,1916.55,1935.43,1919.42,WIN,15.21,SIDEWAY_ADV
S-548,2023-07-06 14:20:00,SHORT,1925.32,1935.44,1921.61,WIN,36.64,SIDEWAY_ADV
S-549,2023-07-06 21:00:00,SHORT,1909.99,1935.43,1917.78,WIN,30.62,SIDEWAY_ADV
S-550,2023-07-07 08:10:00,SHORT,1913.5,1935.43,1918.66,WIN,23.52,SIDEWAY_ADV
S-551,2023-07-10 08:20:00,LONG,1920.95,1902.21,1927.24,WIN,33.54,SIDEWAY_ADV
S-552,2023-07-10 08:30:00,LONG,1921.01,1902.21,1927.25,WIN,33.2,SIDEWAY_ADV
S-553,2023-07-10 15:30:00,LONG,1917.08,1902.21,1926.27,WIN,61.79,SIDEWAY_ADV
S-554,2023-07-11 01:00:00,LONG,1925.36,1902.2,1928.34,WIN,12.87,SIDEWAY_ADV
S-555,2023-07-11 23:50:00,LONG,1932.2,1902.2,1929.51,WIN,8.97,SIDEWAY_ADV
S-556,2023-07-12 03:10:00,SHORT,1934.2,1938.86,1924.58,LOSS,-100.0,SIDEWAY_ADV
S-557,2023-07-12 03:25:00,SHORT,1934.75,1938.86,1924.71,LOSS,-100.0,SIDEWAY_ADV
S-558,2023-07-12 03:40:00,SHORT,1935.8,1938.86,1924.98,LOSS,-100.0,SIDEWAY_ADV
S-559,2023-07-12 04:10:00,SHORT,1937.47,1939.5,1925.39,LOSS,-100.0,SIDEWAY_ADV
S-560,2023-07-12 19:25:00,SHORT,1958.43,1958.43,1931.39,LOSS,-100.0,SIDEWAY_ADV
S-561,2023-07-14 22:55:00,LONG,1954.39,1912.3,1934.49,WIN,47.27,SIDEWAY_ADV
S-562,2023-07-17 05:30:00,LONG,1951.83,1923.96,1933.85,WIN,64.5,SIDEWAY_ADV
S-563,2023-07-17 08:20:00,SHORT,1955.04,1955.04,1930.34,LOSS,-100.0,SIDEWAY_ADV
S-564,2023-07-17 11:30:00,SHORT,1957.17,1957.17,1930.87,LOSS,-100.0,SIDEWAY_ADV
S-565,2023-07-17 19:35:00,SHORT,1955.58,1964.17,1930.47,LOSS,-100.0,SIDEWAY_ADV
S-566,2023-07-17 22:35:00,LONG,1955.42,1928.93,1936.84,WIN,70.14,SIDEWAY_ADV
S-567,2023-07-18 12:15:00,SHORT,1961.45,1964.55,1930.14,LOSS,-100.0,SIDEWAY_ADV
S-568,2023-07-20 01:30:00,SHORT,1977.34,1984.76,1935.75,LOSS,-100.0,SIDEWAY_ADV
S-569,2023-07-20 02:50:00,SHORT,1977.28,1984.76,1935.73,LOSS,-100.0,SIDEWAY_ADV
S-570,2023-07-20 04:25:00,SHORT,1982.06,1985.69,1924.58,LOSS,-100.0,SIDEWAY_ADV
S-571,2023-07-20 08:50:00,LONG,1980.42,1945.37,1968.12,WIN,35.09,SIDEWAY_ADV
S-572,2023-07-20 09:15:00,LONG,1979.24,1945.37,1967.83,WIN,33.7,SIDEWAY_ADV
S-573,2023-07-21 02:40:00,SHORT,1972.72,1972.72,1935.16,EXPIRED,0.0,SIDEWAY_ADV
S-574,2023-07-21 10:40:00,LONG,1966.68,1945.38,1964.69,WIN,9.35,SIDEWAY_ADV
S-575,2023-07-21 16:20:00,LONG,1960.44,1945.38,1963.13,WIN,17.85,SIDEWAY_ADV
S-576,2023-07-25 03:15:00,SHORT,1954.14,1987.82,1955.03,WIN,2.65,SIDEWAY_ADV
S-577,2023-07-25 04:10:00,SHORT,1957.9,1987.82,1953.38,WIN,15.12,SIDEWAY_ADV
S-578,2023-07-25 04:30:00,SHORT,1960.59,1987.82,1954.05,WIN,24.02,SIDEWAY_ADV
S-579,2023-07-25 04:45:00,SHORT,1961.68,1987.82,1954.32,WIN,28.15,SIDEWAY_ADV
S-580,2023-07-25 23:40:00,LONG,1964.87,1951.35,1965.09,WIN,1.59,SIDEWAY_ADV
S-581,2023-07-25 23:50:00,SHORT,1964.68,1987.82,1955.07,WIN,41.52,SIDEWAY_ADV
S-582,2023-07-26 09:25:00,SHORT,1969.89,1987.82,1956.37,WIN,75.37,SIDEWAY_ADV
S-583,2023-07-27 05:35:00,SHORT,1981.58,1981.58,1959.3,LOSS,-100.0,SIDEWAY_ADV
S-584,2023-07-27 12:00:00,LONG,1974.96,1951.35,1967.61,WIN,31.13,SIDEWAY_ADV
S-585,2023-07-31 01:40:00,SHORT,1960.31,1982.62,1956.84,WIN,15.54,SIDEWAY_ADV
S-586,2023-07-31 05:25:00,SHORT,1957.39,1982.62,1956.15,WIN,4.92,SIDEWAY_ADV
S-587,2023-07-31 13:25:00,SHORT,1957.24,1982.62,1955.04,WIN,8.68,SIDEWAY_ADV
S-588,2023-07-31 21:30:00,LONG,1967.97,1942.18,1966.87,WIN,4.26,SIDEWAY_ADV
S-589,2023-07-31 21:40:00,LONG,1967.33,1942.18,1966.71,WIN,2.46,SIDEWAY_ADV
S-590,2023-07-31 22:00:00,LONG,1966.99,1942.18,1966.63,WIN,1.46,SIDEWAY_ADV
S-591,2023-07-31 22:05:00,LONG,1966.4,1942.18,1966.48,WIN,0.33,SIDEWAY_ADV
S-592,2023-08-02 01:20:00,SHORT,1950.25,1982.62,1951.67,WIN,4.38,SIDEWAY_ADV
S-593,2023-08-02 10:30:00,LONG,1949.45,1940.87,1959.99,LOSS,-100.0,SIDEWAY_ADV
S-594,2023-08-03 08:00:00,LONG,1933.35,1933.35,1955.61,LOSS,-100.0,SIDEWAY_ADV
S-595,2023-08-07 22:40:00,SHORT,1936.29,1956.45,1948.07,WIN,58.43,SIDEWAY_ADV
S-596,2023-08-08 03:25:00,LONG,1935.51,1925.14,1957.25,LOSS,-100.0,SIDEWAY_ADV
S-597,2023-08-08 06:45:00,SHORT,1933.89,1955.23,1947.47,WIN,63.63,SIDEWAY_ADV
S-598,2023-08-08 11:55:00,SHORT,1935.13,1955.23,1947.78,WIN,62.93,SIDEWAY_ADV
S-599,2023-08-09 18:30:00,LONG,1915.73,1915.73,1953.76,LOSS,-100.0,SIDEWAY_ADV
S-600,2023-08-09 19:30:00,SHORT,1916.91,1947.33,1927.56,WIN,35.0,SIDEWAY_ADV
S-601,2023-08-11 02:45:00,SHORT,1912.4,1947.1,1926.27,WIN,39.97,SIDEWAY_ADV
S-602,2023-08-11 04:00:00,SHORT,1915.21,1947.1,1926.97,WIN,36.88,SIDEWAY_ADV
S-603,2023-08-11 09:30:00,SHORT,1917.6,1945.72,1927.57,WIN,35.45,SIDEWAY_ADV
S-604,2023-08-11 22:25:00,SHORT,1912.94,1942.06,1926.16,WIN,45.38,SIDEWAY_ADV
S-605,2023-08-16 09:25:00,SHORT,1906.22,1930.52,1924.75,WIN,76.25,SIDEWAY_ADV
S-606,2023-08-17 09:55:00,SHORT,1897.36,1921.33,1922.9,WIN,106.55,SIDEWAY_ADV
S-607,2023-08-17 13:05:00,SHORT,1897.06,1921.33,1922.82,WIN,106.16,SIDEWAY_ADV
S-608,2023-08-17 21:45:00,LONG,1886.25,1886.25,1927.5,LOSS,-100.0,SIDEWAY_ADV
S-609,2023-08-18 07:25:00,SHORT,1892.16,1916.62,1906.51,WIN,58.69,SIDEWAY_ADV
S-610,2023-08-21 04:45:00,LONG,1885.57,1885.57,1926.32,LOSS,-100.0,SIDEWAY_ADV
S-611,2023-08-22 07:30:00,SHORT,1895.93,1907.6,1923.04,WIN,232.28,SIDEWAY_ADV
S-612,2023-08-22 20:45:00,LONG,1897.78,1897.78,1929.37,EXPIRED,0.0,SIDEWAY_ADV
S-613,2023-08-23 03:10:00,SHORT,1899.68,1904.91,1923.97,WIN,464.5,SIDEWAY_ADV
S-614,2023-08-23 03:30:00,SHORT,1900.24,1904.91,1924.11,WIN,511.2,SIDEWAY_ADV
S-615,2023-08-25 01:20:00,LONG,1917.19,1884.43,1933.54,EXPIRED,0.0,SIDEWAY_ADV
S-616,2023-08-25 01:40:00,SHORT,1916.87,1923.78,1927.9,WIN,159.49,SIDEWAY_ADV
S-617,2023-08-29 23:20:00,LONG,1937.65,1902.58,1925.41,WIN,34.91,SIDEWAY_ADV
S-618,2023-08-31 04:05:00,SHORT,1946.53,1946.53,1920.24,LOSS,-100.0,SIDEWAY_ADV
S-619,2023-08-31 13:55:00,SHORT,1944.32,1944.32,1919.69,LOSS,-100.0,SIDEWAY_ADV
S-620,2023-08-31 19:45:00,SHORT,1941.59,1949.46,1919.0,LOSS,-100.0,SIDEWAY_ADV
S-621,2023-09-01 06:00:00,LONG,1939.97,1911.77,1927.13,WIN,45.53,SIDEWAY_ADV
S-622,2023-09-04 02:30:00,LONG,1939.89,1914.05,1926.4,WIN,52.22,SIDEWAY_ADV
S-623,2023-09-04 10:25:00,LONG,1943.51,1914.05,1927.3,WIN,55.02,SIDEWAY_ADV
