Ticket,Time,Direction,Entry,SL,TP1,Result,PnL,H1_Trend,Regime
2687,2024-06-07 20:25:00,SHORT,2307.37,2312.3542857142857,2299.8935714285712,OPEN,0,BEARISH,TREND
2692,2024-06-07 20:50:00,SHORT,2305.87,2310.2357142857145,2299.321428571428,OPEN,0,BEARISH,TREND
2687,2024-06-07 20:55:00,N/A,N/A,N/A,N/A,WIN,17.55,UNKNOWN,TREND
2693,2024-06-07 20:55:00,SHORT,2305.5,2309.8985714285714,2298.9021428571427,OPEN,0,BEARISH,TREND
2692,2024-06-07 21:00:00,N/A,N/A,N/A,N/A,WIN,7.44,UNKNOWN,TREND
2697,2024-06-07 21:15:00,SHORT,2304.77,2308.5071428571428,2299.1642857142856,OPEN,0,BEARISH,TREND
2693,2024-06-07 21:20:00,N/A,N/A,N/A,N/A,WIN,14.6,UNKNOWN,TREND
2701,2024-06-07 21:35:00,SHORT,2300.56,2304.352857142857,2294.8707142857143,OPEN,0,BEARISH,TREND
2697,2024-06-07 21:40:00,N/A,N/A,N/A,N/A,WIN,98.94,UNKNOWN,TREND
2703,2024-06-07 21:45:00,SHORT,2300.27,2304.1485714285714,2294.452142857143,OPEN,0,BEARISH,TREND
2701,2024-06-07 21:50:00,N/A,N/A,N/A,N/A,WIN,6.76,UNKNOWN,TREND
2708,2024-06-07 22:10:00,SHORT,2297.51,2301.1728571428575,2292.0157142857142,OPEN,0,BEARISH,TREND
2703,2024-06-07 22:15:00,N/A,N/A,N/A,N/A,WIN,127.79,UNKNOWN,TREND
2709,2024-06-07 22:15:00,SHORT,2295.63,2299.4828571428575,2289.8507142857143,OPEN,0,BEARISH,TREND
2708,2024-06-07 22:20:00,N/A,N/A,N/A,N/A,WIN,92.31,UNKNOWN,TREND
2710,2024-06-07 22:20:00,SHORT,2295.28,2299.1985714285715,2289.402142857143,OPEN,0,BEARISH,TREND
2709,2024-06-07 22:25:00,N/A,N/A,N/A,N/A,WIN,16.69,UNKNOWN,TREND
